ID,DESCRIPTION
MP,CURSO MERCANCÍAS PELIGROSAS
SE,CURSO TEÓRICO CON AVIÓN EMERGENCIAS
SM,SIMULADOR
SME,SIMULADOR ACTIVIDAD AÉREA CON EXTENSIÓN
SME,SIMULADOR INSTRUCCIÓN EN LÍNEA FO
SMF,SIMULADOR INSTRUCCIÓN EN LÍNEA FAM
SMM,SIMULADOR MEMO
SMM,SIMULADOR INSTRUCCIÓN EN LÍNEA MAT
SMN,SIMULADOR NOTIFICACIÓN PENDIENTE
SMO,SIMULADOR OTRA INSTRUCCIÓN EN LÍNEA
SMP,SIMULADOR INSTRUCCIÓN EN LÍNEA CP
SMR,SIMULADOR ACTIVIDAD SOLICITADA
SMS,SIMULADOR CAMBIO PERSONAL
SMT,SIMULADOR INSTRUCCIÓN EN LÍNEA CANCELADA
SMV,SIMULADOR VERIFICACIÓN EN LÍNEA
OL,CURSO ONLINE
OLE,CURSO ONLINE ACTIVIDAD AÉREA CON EXTENSIÓN
OLE,CURSO ONLINE INSTRUCCIÓN EN LÍNEA FO
OLF,CURSO ONLINE INSTRUCCIÓN EN LÍNEA FAM
OLM,CURSO ONLINE MEMO
OLM,CURSO ONLINE INSTRUCCIÓN EN LÍNEA MAT
OLN,CURSO ONLINE NOTIFICACIÓN PENDIENTE
OLO,CURSO ONLINE OTRA INSTRUCCIÓN EN LÍNEA
OLP,CURSO ONLINE INSTRUCCIÓN EN LÍNEA CP
OLR,CURSO ONLINE ACTIVIDAD SOLICITADA
OLS,CURSO ONLINE CAMBIO PERSONAL
OLT,CURSO ONLINE INSTRUCCIÓN EN LÍNEA CANCELADA
OLV,CURSO ONLINE VERIFICACIÓN EN LÍNEA
OPC,SIMULADOR OPC
OPCE,SIMULADOR OPC ACTIVIDAD AÉREA CON EXTENSIÓN
OPCE,SIMULADOR OPC INSTRUCCIÓN EN LÍNEA FO
OPCF,SIMULADOR OPC INSTRUCCIÓN EN LÍNEA FAM
OPCM,SIMULADOR OPC MEMO
OPCM,SIMULADOR OPC INSTRUCCIÓN EN LÍNEA MAT
OPCN,SIMULADOR OPC NOTIFICACIÓN PENDIENTE
OPCO,SIMULADOR OPC OTRA INSTRUCCIÓN EN LÍNEA
OPCP,SIMULADOR OPC INSTRUCCIÓN EN LÍNEA CP
OPCR,SIMULADOR OPC ACTIVIDAD SOLICITADA
OPCS,SIMULADOR OPC CAMBIO PERSONAL
OPCT,SIMULADOR OPC INSTRUCCIÓN EN LÍNEA CANCELADA
OPCV,SIMULADOR OPC VERIFICACIÓN EN LÍNEA
TR,ENTRENAMIENTO CON AVIÓN
